Summary,Sentiment
dark dull thriller parting shot misfire,0
director chris eyre going pace usual high melodramatic style filmmaking,0
although lack detail book film pack serious suspense,1
script david koepp perfectly serviceable give story soul elevates experience mythic level,1
exciting involving rock music doc smart satisfying look inside tumultuous world,1
worth seeing weaver lapaglia,1
smith careful make fun curious owner architectural oddity instead show respect due,1
disreputable doings exquisite trapping dampened lackluster script substandard performance,0
code talker deserved better hollow tribute,0
already thin story boil surviving invader seeking existent anti virus one kind movie,0
sip vintage wine watch merchant ivory production settle nice cool glass iced tea jerry bruckheimer flick day week,1
message reflection intentional art grows vacuum many artist exist one,1
loquacious dreary piece business,0
overall effect awe affection strange urge get board uh shred dude,1
nearly surreal dabbling french simple movie taking risk choose see enjoyed ride bump creamy depth ultimate theme,1
depressing confirmation everything u object description unelected suspected along george w bush incurious uncharismatic overgrown frat boy mean streak mile wide,1
fan film uninitiated play better video sound turned,0
paint memorable image makhmalbaf keep distance character,0
two word tell know deciding see anthony hopkins,1
denying physically spectacular quality film emotional integrity performance,1
friend couple mile pabst blue ribbon beer drink ultimate redneck road trip,1
way effectively teach kid danger drug think project like unfortunately r rated paid,1
flashy gadget whirling fight sequence may look cool distract flawed support structure holding equilibrium,0
build feel good fantasy around vain dictator madman putting say least mention inappropriate wildly undeserved,0
splatter movie probably reasonably good time salton sea,0
character paper thin plot cliched contrived make least favorite james bond movie seem cleverly plotted usual suspect,0
scientific law discerned producer would well heed mediocre movie start drag soon action speed explosion start fall piece,0
exactly bee knee,0
though entertaining audacious moment movie wildly careening tone extremely flat lead performance little salvage filmmaker flailing reputation,0
harrowing movie parent know button push,1
make aborbing arguable case man greatness,1
summer clone harvard man something rare riveting wild ride relies special effect,1
like abstract art film make statement easily accessible way unless prewarned would possible reasonably intelligent person sit tidal wave imagery get vision,0
writer director randall wallace bitten anyone else could chew movie veers like drunken driver heavy traffic,0
watching spirited away like watching eastern imagination explode,1
movie suffers two fatal ailment dearth vitality story shapeless uninflected,0
compelling moving film respect audience source material,1
one greatest romantic comedy past decade,1
ararat feel like book report,0
coppola directorial debut incredibly layered stylistic film despite fairly slow paced almost humdrum approach character development still manages least decent attempt meaningful cinema,1
piccoli performance amazing yes symbol loss denial life arm length film seem irritatingly transparent,0
funny touching film gorgeously acted british cast rival gosford park,1
writer director john mckay ignites charming chemistry kate jed veers sodden melodrama punctuated violin disastrous kate jealous female friend become downright despicable,0
thing movie try get audience buy fly intelligent viewer,0
offer enough playful fun entertain preschool set embracing wholesome attitude,1
two week notice appeal beyond sandra bullock vehicle standard romantic comedy,1
